Store URL,Name,Phone,Street_Address,Locality,Business_years
https://www.yellowpages.com//new-york-ny/mip/delmont-carpet-cleaning-inc-483745789?lid=1002107216057,Delmont Carpet Cleaning Inc,(929) 243-4945,1636 3rd Avenue,"New York, NY 10128",52YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/little-italy-gift-center-474154283?lid=1002104193436,Little Italy Gift Center,(646) 880-3223,133 mulberry st,"New York, NY 10013",9YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/canal-furniture-1625011?lid=1001177329357,Canal Furniture,(212) 925-5343,402 Broadway,"New York, NY 10013",23YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/economy-foam-futons-center-466218841?lid=1001162627910,Economy FOAM & Futons Center,(212) 475-4800,56 W 8th St,"New York, NY 10011",85YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/double-knot-rug-gallery-5607258?lid=1001939028238,Double Knot Rug Gallery,(212) 257-9905,13 White St,"New York, NY 10013",15YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/bebe-gear-inc-495314446,Bebe Gear Inc.,(800) 258-0960,40 Wall St Fl 28,"New York, NY 10005",9YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/futon-island-505057579,Futon Island,(888) 423-3820,373 3rd Ave,"New York, NY 10016",20YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/metropolitan-furniture-455361670,Metropolitan Furniture,(212) 445-8888,4 Columbus Cir,"New York, NY 10019",19YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/modern-living-supplies-15362841,Modern Living Supplies,(212) 619-1615,142 Henry St,"New York, NY 10002",17YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/pompanoosuc-mills-corp-14530953,Pompanoosuc Mills Corp,(212) 226-5960,124 Hudson St,"New York, NY 10013",51YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/morgik-metal-design-inc-462460158,Morgik Metal Design Inc,(212) 463-0304,145 Hudson St,"New York, NY 10013",22YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/holly-hunt-new-york-1602340,Holly Hunt New York,(212) 891-2500,979 3rd Ave,"New York, NY 10022",28YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/plaza-furniture-11955479,Plaza Furniture,(212) 947-7453,265 W 37th St,"New York, NY 10018",68YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/sferra-bros-at-abc-home-2824242,Sferra Bros at ABC Home,(212) 253-1090,888 Broadway,"New York, NY 10003",30YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/indigo-home-13827903,Indigo Home,(212) 684-4146,230 5th Ave Ste 1916,"New York, NY 10001",18YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/seminole-furniture-shop-349672,Seminole Furniture Shop,(212) 683-6464,44 E 32nd St Fl 2,"New York, NY 10016",43YEARSIN BUSINESS
https://www.yellowpages.com//brooklyn-ny/mip/sanders-furniture-inc-4652209,Sanders Furniture Inc,(718) 624-3400,40 Penn St,"Brooklyn, NY 11249",40YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/just-scandinavian-inc-472814733,Just Scandinavian Inc,(212) 334-2556,555 W 23rd St,"New York, NY 10011",19YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/cassina-usa-inc-462446522,Cassina USA Inc,(212) 245-2121,155 E 56th St,"New York, NY 10022",40YEARSIN BUSINESS
https://www.yellowpages.com//brooklyn-ny/mip/artisan-collection-inc-456796462,Artisan Collection Inc,(718) 596-0722,365 Bridge St,"Brooklyn, NY 11201",19YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/bills-discount-furniture-465641689,Bill's Discount Furniture,(212) 289-2491,2156 3rd Ave,"New York, NY 10035",11YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/mondo-cane-inc-14084588,Mondo Cane Inc,(212) 219-9244,174 Duane St Frnt 1,"New York, NY 10013",21YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/ligne-roset-466986305,Ligne Roset,(212) 685-1099,250 Park Ave S Frnt 2,"New York, NY 10003",14YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/las-venus-16804227,Las Venus,(212) 982-0608,163 Ludlow St Frnt 1,"New York, NY 10002",27YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/eurotrend-furniture-8927893,Eurotrend Furniture,(212) 343-1043,275 Broome St,"New York, NY 10002",19YEARSIN BUSINESS
https://www.yellowpages.com//brooklyn-ny/mip/a-g-merch-14523340,A & G Merch,(718) 388-1779,111 N 6th St,"Brooklyn, NY 11249",16YEARSIN BUSINESS
https://www.yellowpages.com//brooklyn-ny/mip/hooked-on-wood-462995720,Hooked On Wood,(929) 337-6488,43 Hall St Ste B13,"Brooklyn, NY 11205",18YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/clinton-furniture-12105867,Clinton Furniture,(212) 253-8757,61 Clinton St,"New York, NY 10002",14YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/moura-starr-1199526,Moura Starr,(212) 219-1110,121 Wooster St Frnt 1,"New York, NY 10012",19YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/belongings-2733730,Belongings,(212) 327-4714,226 E 79th St,"New York, NY 10075",15YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/cote-france-465611930,Cote France,(212) 684-0707,200 Lexington Ave Ste 120,"New York, NY 10016",24YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/roset-usa-459471243,Roset USA,(212) 358-9204,111 Broadway Rm 1004,"New York, NY 10006",15YEARSIN BUSINESS
https://www.yellowpages.com//brooklyn-ny/mip/journey-6524437,Journey,(718) 797-9277,72 Front St,"Brooklyn, NY 11201",24YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/scott-jordan-furniture-29635048,Scott Jordan Furniture,(212) 620-4682,137 Varick St,"New York, NY 10013",30YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/the-furniture-joint-459599762,The Furniture Joint,(212) 598-4260,35 Great Jones St Apt 2,"New York, NY 10012",20YEARSIN BUSINESS
https://www.yellowpages.com//hoboken-nj/mip/sleep-cheap-furniture-corp-3473435,Sleep-Cheap Furniture Corp,(201) 758-1985,410 Washington St,"Hoboken, NJ 07030",24YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/room-board-11679370,Room & Board,(212) 334-4343,105 Wooster St,"New York, NY 10012",42YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/la-cour-inc-467452478,La Cour Inc,(212) 213-6600,200 Lexington Ave,"New York, NY 10016",55YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/usm-modular-furniture-458836287,USM Modular Furniture,(212) 371-1230,28 Greene St,"New York, NY 10013",61YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/lewis-mittman-inc-467772262,Lewis Mittman Inc,(212) 888-5580,979 3rd Ave,"New York, NY 10022",44YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/mitchell-gold-bob-williams-453411867,Mitchell Gold + Bob Williams,(212) 431-2575,210 Lafayette St,"New York, NY 10012",33YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/modern-manhattan-466664636,Modern Manhattan,(212) 253-5629,155 Wooster St,"New York, NY 10012",24YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/kahan-enrique-456623350,Kahan Enrique,(212) 254-3051,153 Essex St,"New York, NY 10002",9YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/cb2-10172836,CB2,(212) 219-1454,451 Broadway,"New York, NY 10013",23YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/ba-store-474966389,BA Store,(855) 815-6395,259 W 30th St,"New York, NY 10001",12YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/kings-road-home-10066731,King's Road Home,(212) 941-5011,42 Wooster St,"New York, NY 10013",24YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/easy-shopping-14752910,Easy Shopping,(212) 987-8822,1888 3rd Ave,"New York, NY 10029",7YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/international-furniture-1594648,International Furniture,(212) 925-7477,113 Bowery,"New York, NY 10002",48YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/puntacana-furniture-463020839,Puntacana Furniture,(212) 304-1948,560 W 207th St,"New York, NY 10034",13YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/antony-todd-8796293,Antony Todd,(212) 367-7363,44 E 11th St,"New York, NY 10003",16YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/moda-furniture-458127296,Moda Furniture,(973) 249-0700,43 W 23rd St,"New York, NY 10010",19YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/jennifer-convertibles-488237903,Jennifer Convertibles,(212) 752-2078,965 3rd Ave,"New York, NY 10022",25YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/knoll-incorporated-473370552,Knoll Incorporated,(646) 559-0166,1330 Avenue Of The Americas,"New York, NY 10019",78YEARSIN BUSINESS
https://www.yellowpages.com//brooklyn-ny/mip/gogo-furniture-467112214,GoGo Furniture,(718) 422-0005,15 Bond St,"Brooklyn, NY 11201",16YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/industry-west-548307801,Industry West,(800) 382-9303,14 Crosby St,"New York, NY 10013",15YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/champ-depot-custom-restaurant-furniture-tables-chairs-booths-barstools-bars-and-reupholstery-485011056,"Champ Depot - Custom Restaurant Furniture: Tables, Chairs, Booths, Barstools, Bars, and Reupholstery",(212) 226-2728,82 Canal St.,"New York, NY 10002",23YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/m-katz-sons-incorporated-454824028,M Katz Sons Incorporated,(212) 673-2184,20 Orchard St,"New York, NY 10002",116YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/rh-new-york-the-gallery-in-the-historic-meatpacking-district-563994094,RH New York | The Gallery in the Historic Meatpacking District,(212) 217-2210,9 9th Ave,"New York, NY 10014",42YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/safavieh-home-furnishings-459467976,Safavieh Home Furnishings,(212) 242-1300,89 7th Ave,"New York, NY 10011",29YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/france-son-514376018,France & Son,(212) 206-1200,122 W 18th St,"New York, NY 10011",7YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/lovesac-545235642,Lovesac,(646) 590-7502,927 Broadway,"New York, NY 10010",27YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/el-rey-furniture-453396930,El Rey Furniture,(212) 569-5555,605 W 207th St,"New York, NY 10034",74YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/rooms-by-zoyab-5978462,Rooms by ZoyaB,(212) 726-0006,200 Lexington Ave,"New York, NY 10016",24YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/office-furniture-place-2527972,Office Furniture Place,(212) 921-2888,247 W 37th St,"New York, NY 10018",31YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/apple-glass-mirror-and-shades-459645879,Apple Glass Mirror and Shades,(212) 666-4466,896 Amsterdam Ave,"New York, NY 10025",16YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/modern-living-supplies-15362841,Modern Living Supplies,(212) 619-1615,142 Henry St,"New York, NY 10002",17YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/pompanoosuc-mills-corp-14530953,Pompanoosuc Mills Corp,(212) 226-5960,124 Hudson St,"New York, NY 10013",51YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/morgik-metal-design-inc-462460158,Morgik Metal Design Inc,(212) 463-0304,145 Hudson St,"New York, NY 10013",22YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/metropolitan-furniture-455361670,Metropolitan Furniture,(212) 445-8888,4 Columbus Cir,"New York, NY 10019",19YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/walters-wicker-inc-465629291,Walters Wicker Inc,(212) 758-0472,979 3rd Ave Ste 538,"New York, NY 10022",88YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/just-scandinavian-inc-472814733,Just Scandinavian Inc,(212) 334-2556,555 W 23rd St,"New York, NY 10011",19YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/eurotrend-furniture-8927893,Eurotrend Furniture,(212) 343-1043,275 Broome St,"New York, NY 10002",19YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/indigo-home-13827903,Indigo Home,(212) 684-4146,230 5th Ave Ste 1916,"New York, NY 10001",18YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/plaza-furniture-11955479,Plaza Furniture,(212) 947-7453,265 W 37th St,"New York, NY 10018",68YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/holly-hunt-new-york-1602340,Holly Hunt New York,(212) 891-2500,979 3rd Ave,"New York, NY 10022",28YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/mondo-cane-inc-14084588,Mondo Cane Inc,(212) 219-9244,174 Duane St Frnt 1,"New York, NY 10013",21YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/moura-starr-1199526,Moura Starr,(212) 219-1110,121 Wooster St Frnt 1,"New York, NY 10012",19YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/clinton-furniture-12105867,Clinton Furniture,(212) 253-8757,61 Clinton St,"New York, NY 10002",14YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/sferra-bros-at-abc-home-2824242,Sferra Bros at ABC Home,(212) 253-1090,888 Broadway,"New York, NY 10003",30YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/ligne-roset-466986305,Ligne Roset,(212) 685-1099,250 Park Ave S Frnt 2,"New York, NY 10003",14YEARSIN BUSINESS
https://www.yellowpages.com//new-york-ny/mip/seminole-furniture-shop-349672,Seminole Furniture Shop,(212) 683-6464,44 E 32nd St Fl 2,"New York, NY 10016",43YEARSIN BUSINESS
